ejemplo,categoria,tipo_victima,metafora_dominante,mecanismo_de_distorsion,canal_difusion,breve_descripcion
Comunidad de vecinos,vida urbana,colectivo,laberinto,conflicto,humor,Retratada como infierno burocratico.
Presidentes de comunidad,vida urbana,individuo,ogro,poder minimo,humor,Vistos como tiranos de escalera.
Okupas de meme,vida urbana,caricatura,lobo comico,exageracion,memes,Usados como amenaza excesiva.
Turistas de borrachera,ocio,colectivo,enjambre,desprecio,medios,Convertidos en plaga de ciudad.
Gentrificadores creativos,urbanismo,colectivo,fantasma,ambivalencia,debates,Sospechosos de blanquear espacios.
Hipsters,urbanismo,cultura,carcasa,caricatura,memes,Representados como estetica vacia.
Chicxs de startup,tecnologia,colectivo,avatar,idealizacion,reportajes,Vida emprendedora romantizada.
Becarios de startup,empleo,colectivo,explotacion,sombra,empresa,Trabajo intensivo con glamour aparente.
Freelancers precarizados,empleo,colectivo,pozo,agotamiento,redes,Vistos como libres pero rotos.
Coaches motivacionales,industria autoayuda,individuo,oraculo,simplificacion,redes,Ofrecen soluciones magicas.
Gurus de productividad,industria autoayuda,individuo,maquina,deshumanizacion,redes,Promueven ser mas que humano.
Traders de criptos,internet,individuo,ruleta,espectacularizacion,redes,Exhiben riesgos como juego divertido.
Estafas piramidales financieras,economia,colectivo,virus mental,engaño,redes,Crean fantasia de riqueza facil.
Influencers dropshipping,internet,individuo,espejismo,venta de humo,redes,Prometen exito instantaneo.
Colectivos de coaching espiritual,espiritualidad,colectivo,niebla,confusion,redes,Mezclan terapia y magia.
Sectas modernas,espiritualidad,colectivo,jaula mental,control,documentales,Manipulan vulnerabilidades.
Antimascotas extremos,sociedad,colectivo,ogro,odio,redes,Atacan a personas con animales.
Dog lovers extremos,sociedad,colectivo,altar,idealizacion,redes,Colocan a los perros en pedestal absoluto.
Veganos extremos,sociedad,colectivo,lobo moral,acoso,redes,Atacan otras elecciones alimentarias.
Carnivoros extremos,sociedad,colectivo,provocacion,hostilidad,redes,Usan carne como bandera identitaria.
Haters de spoilers,cultura pop,colectivo,manada,linchamiento,redes,Atacan a quien rompe ficciones.
Fans de spoilers,cultura pop,colectivo,tiro al aire,indiferencia,redes,Generan conflicto constante.
Enemigos de la navidad,cultura,colectivo,ogro triste,humor,memes,Representados como enemigos de la alegria.
Amantes de la navidad,cultura,colectivo,empalago,caricatura,memes,Presentados como excesivos.
Gente sin WhatsApp,sociedad,colectivo,extraterrestres,desubicacion,redes,Vistos como raros sin vida social.
Gente sin redes sociales,sociedad,colectivo,eremitas,romanticismo,reportajes,Idealizados y sospechosos a la vez.
Usuarios de Linux,tecnologia,colectivo,tribu,elitismo,memes,Presentados como secta de terminal.
Usuarios de Mac,tecnologia,colectivo,estetica,caricatura,memes,Considerados snobs superficiales.
Usuarios de Windows,tecnologia,colectivo,masa,estandarizacion,memes,Retratados como usuarios torpes.
Usuarios de Android,tecnologia,colectivo,enjambre,fragmentacion,memes,Representados como caos barato.
Usuarios de iPhone,tecnologia,colectivo,logo,estatus,memes,Convertidos en culto de marca.
Conspiranoicos de chemtrails,pseudociencia,colectivo,fantasma,paranoia,redes,Ven venenos en el cielo.
Negacionistas del holocausto,pseudohistoria,colectivo,niebla,borrado,hilos,Eliminan memoria historica.
Revisionistas toxicos de historia,pseudohistoria,colectivo,espejo roto,distorsion,foros,Reescriben hechos.
Antimascotas gatos,humor,colectivo,bestiario,caricatura,memes,Tratan a los gatos como invasores.
Gatificadores extremos,cultura internet,colectivo,altar,idealizacion,memes,Consideran a gatos dioses.
Perros influencers,internet,individuo,mascota como avatar,cosificacion,redes,Animales convertidos en marca.
Niños influencers,internet,individuo vulnerable,mercancia,explotacion,redes,Vidas convertidas en contenido comercial.
Familias vloggers,internet,colectivo,espejo,exposicion constante,redes,Intimidad como show diario.
Usuarios de forocoches,internet,colectivo,manada,hostilidad,foros,Imagen de jauria digital.
Usuarios de reddit,internet,colectivo,enjambre,intelectualizacion,foros,Percepcion de sabiduria y toxicidad mezcladas.
Foros 4chan,internet,colectivo,lodo,anomia,foros,Asociados a caos e incubacion de extremismos.
Subculturas siniestroides,cultura,colectivo,bestiario,estigma,medios,Tribus urbanas asociadas a peligro.
Emos,subcultura,colectivo,caricatura,burla,memes,Ridiculizados por sensibilidad.
Punks,subcultura,colectivo,lobo rebelde,demonizacion,medios,Presentados como amenaza del orden.
Metaleros,subcultura,colectivo,ritual,diabolizacion,medios,Asociados a satanismo sin base.
Raperos de barrio,subcultura,colectivo,lobo urbano,criminalizacion,medios,Relacionados con delitos sin pruebas.
Trapstars,subcultura,colectivo,exceso,caricatura,redes,Representados como decadencia estetica.
Cultura cosplay hentai,subcultura,colectivo,tabu,escandalo,noticias,Presentada como degeneracion.
Otome gamers,subcultura,colectivo,carcasa,estereotipo,memes,Reducidas a romanticas irracionales.
Fans de true crime,consumo cultural,colectivo,morbo,espectacularizacion,plataformas,Presentados como adictos al dolor ajeno.
Podcasters de opinion,internet,colectivo,altavoz,ruido,plataformas,Mucho volumen poca verificacion.
Streamer de salseo,internet,individuo,espejo roto,conflicto,redes,Construye y alimenta dramas.
Comentaristas deportivosxde tertulia,tv,colectivo,manada,griterio,tv,Convertidos en espectaculo de ruido.
Contertulios politicos,tv,colectivo,jauria,polarizacion,tv,Simulan representar al pueblo mientras gritan.
Presentadores de reality,tv,individuo,maestro de ceremonia,control,tv,Mediadores del circo humano.
Montadores de tv,tv,profesion,sombra,borrado,industria,Deciden relatos desde la invisibilidad.
Guionistas de programas,tv,profesion,sombra,autor fantasma,industria,Construyen monstruos sin aparecer.
Productoras de tv,tv,entidad abstracta,maquina,optimiza morbo,industria,Buscan maxima audiencia sin etica.
Plataformas streaming,industria cultural,entidad abstracta,mar,torrente de contenido,plataformas,Ahogan con exceso de oferta.
Usuarios que ven reality,cultura,colectivo,jauria o publico,culpabilizacion,debates,Se les acusa de fomentar telebasura.
Padres que dejan ver telebasura,educacion,colectivo,culpa,juicio,debates,Responsabilizados del gusto de hijos.
Vecinos que no reciclan,ecologia,colectivo,ogro cotidiano,culpa,campañas,Convertidos en culpables del fin del mundo.
Negacionistas del reciclaje,ecologia,colectivo,espejo roto,incredulidad,foros,Consideran el reciclaje farsa.
Activistas climatico extremos,ecologia,colectivo,lobo moral,polarizacion,medios,Vistos como radicales destructivos.
Activistas climaticos moderados,ecologia,colectivo,sombra,ignorados,medios,Poca atencion pese al trabajo.
Conductores de SUV,ecologia,colectivo,ogro,carga simbolica,memes,Tratados como enemigos del planeta.
Ciclistas urbanos,ecologia,colectivo,manada,odio urbano,redes,Generan friccion con coches y peatones.
Usuarios de patinete electrico,urbanismo,colectivo,enjambre,caos,medios,Presentados como plaga peligrosa.
Peatones despistados,urbanismo,colectivo,bestiario,burla,memes,Llamados zombis del movil.
Boomers de grupo de WhatsApp,humor,colectivo,ruido,desfase,memes,Sus mensajes se perciben como caos entrañable.
Jovenes que usan stickers,humor,colectivo,tribu digital,exceso,memes,Estigmatizados como inmaduros.
Profes que ponen deberes,educacion,colectivo,ogro,queja,memes,Vistos como enemigos del ocio.
Profes que no ponen deberes,educacion,colectivo,blandos,critica,redes,Acusados de irresponsabilidad.
Alumnado que suspende,educacion,colectivo,pozo,culpa,escuela,Responsabilizados individualmente sin contexto.
Alumnado que saca dieces,educacion,colectivo,altar,idealizacion,escuela,Vistos como modelo perfecto.
Personas que leen mucho,cultura,colectivo,raton de biblioteca,estereotipo,humor,Caricaturizados como aislados.
Personas que no leen,cultura,colectivo,zombi cultural,desprecio,debates,Considerados incultos sin remedio.
Fans de libros de autoayuda,cultura,colectivo,carcasa,ingenuidad,memes,Representados como ciegos a la realidad.
Fans de fantasia epica,cultura,colectivo,escapismo,caricatura,memes,Sospechosos de huir del mundo.
Fans de terror extremo,cultura,colectivo,morbo,morbilidad,debates,Considerados insensibles al dolor.
Jugadores de rol,cultura,colectivo,bestiario,panico moral,historia,Antes se asocian a sectas y locura.
Fans de anime gore,cultura,colectivo,oscuridad,estigma,memes,Asociados a tendencias peligrosas.
Consumidores de pornografia,tabu,colectivo,sombra,silencio,debates,Tratados como desviados o hipocritas.
Trabajadoras sexuales,tabu,colectivo,bestiario,estigmatizacion,medios,Representadas sin humanidad.
Trabajadores sexuales masculinos,tabu,colectivo,niebla,invisibilidad,medios,Apenas nombrados.
Personas asexuales,sexualidad,colectivo,extrano,estigma,redes,Consideradas anomalas.
Personas aromanticas,sexualidad,colectivo,frio,juicio,redes,Se interpreta como falta de empatia.
Parejas poliamorosas,sexualidad,colectivo,circo,espectacularizacion,medios,Convertidas en rareza morbosa.
Parejas abiertas,sexualidad,colectivo,caos,estereotipo,memes,Asociadas a drama continuo.
Hombres que no quieren hijos,sexualidad,colectivo,egoista,juicio,debates,Considerados irresponsables.
Mujeres que no quieren hijos,sexualidad,colectivo,lobo,sospecha,moral,Representadas como amenaza al orden.
Personas no monogamas,sexualidad,colectivo,carcasa,estereotipo,redes,Reducidas a vicio.
Artistas de circo,arte,colectivo,bestiario,exotizacion,carteles,Retratados como criaturas raras.
Artistas callejeros,arte urbano,colectivo,sombra,borrado,ciudad,Normalizados como ruido de fondo.
Mimos callejeros,arte urbano,colectivo,bestiario,burla,memes,Objeto de chistes.
Magos de fiestas,arte,colectivo,ilusorio,banalizacion,humor,Considerados simples truqueros para ninos.
Payasos,arte,colectivo,bestiario,temor memetico,redes,Pasaron de alegria a monstruo.
Fotografos de boda,profesion,colectivo,carcasa,estereotipo,memes,Vistos como caros y cursis.
Influencers de bodas,internet,colectivo,idealizacion,perfeccion toxica,redes,Muestran vida imposible.
Organizadores de eventos,servicios,colectivo,sombra,estres,sector,Trabajan bajo presion invisible.
DJ de discoteca,ocio,colectivo,control,ego,memes,Caricaturizados como dioses del volumen.
Clientes de discoteca,ocio,colectivo,manada,descontrol,memes,Vistos como masa irracional.
Vecinos anti fiesta,ocio,colectivo,ogro,enemigo,memes,Representados como mata alegria.
Personas con tinnitus,salud,colectivo,sombra,invisibilidad,medicina,Problema poco comprendido.
Personas con fibromialgia,salud,colectivo,niebla,duda,medios,Su dolor es cuestionado.
Personas con sindrome de fatiga cronica,salud,colectivo,pozo,incomprension,medicina,Se perciben como vagas.
Personas con covid persistente,salud,colectivo,niebla,borrado,debates,No encajan en narrativa oficial.
Fans de pseudoterapias,salud,colectivo,fantasma,esperanza magica,redes,Buscan soluciones milagrosas.
Victimas de pseudoterapias,salud,colectivo,pozo,daño no reconocido,medios,Sufrimiento minimizado.
Mujeres menopausicas,salud,colectivo,sombra,silencio,debates,Ignoradas o ridiculizadas.
Personas intersex,salud,colectivo,niebla,invisibilidad,medios,Apenas mencionadas.
Personas no binarias,identidad,colectivo,espejo roto,polémica,redes,Debate que borra su experiencia.
Colectivo racializado afrodescendiente,sociedad,colectivo,bestiario,deshumanizacion,medios,A menudo retratado como peligroso.
Colectivo latino en Europa,sociedad,colectivo,carcasa,estereotipo laboral,medios,Asociado solo a ciertos trabajos.
Personas musulmanas,sociedad,colectivo,lobo,criminalizacion,medios,Relacionadas injustamente con terror.
Personas gitanas payas integradas,sociedad,colectivo,niebla,invisibilidad,medios,No encajan en ningun relato facil.
Personas ex presas,sociedad,colectivo,ogro,estigma,medios,Se considera que no pueden cambiar.
Personas que viven en furgoneta,alternativas vida,colectivo,romanticismo,idealizacion,reportajes,Oscilan entre vagabundos y heroes libres.
Personas que viven okupando lujo,alternativas vida,colectivo,lobo,odio,medios,Objeto de condena publica intensa.
Campers y camperizacion,alternativas vida,colectivo,capsula,idealizacion,redes,Imagen de libertad total.
Nuevos rurales,alternativas vida,colectivo,romanticismo,idealizacion,reportajes,Vendidos como vuelta perfecta al campo.
Gente de pueblo,identidad,colectivo,carcasa,cliche,series,Representados como simples y cerrados.
Gente de ciudad,identidad,colectivo,alienacion,caricatura,memes,Presentados como frios y estresados.
